slug,title,category,publication,first_arxiv_date,arxiv_id,pdf_version,pages,bytes,sha256,han_url,pdf_url,code_url,pdf_path,note_path
sana,SANA: Efficient High-Resolution Image Synthesis with Linear Diffusion Transformers,图像生成及配套,ICLR 2025,2024-10-14,2410.10629,v3,23,8375476,cd4c3c0aac53c8b151cdd9d19abc7867f27324094bfe45decb225450a2761d0d,https://hanlab.mit.edu/projects/sana,https://arxiv.org/pdf/2410.10629v3,https://github.com/NVlabs/Sana,PDFs/sana.pdf,notes/sana.md
sana-1-5,SANA-1.5: Efficient Scaling of Training-Time and Inference-Time Compute in Linear Diffusion Transformer,图像生成及配套,ICML 2025,2025-01-30,2501.18427,v4,21,10336471,9bc6d68f6cf88d8b69961386cbc6c8506849fb8b77e7368fca8f996cc3f87922,https://hanlab.mit.edu/projects/sana-1-5,https://arxiv.org/pdf/2501.18427v4,https://github.com/NVlabs/Sana,PDFs/sana-1-5.pdf,notes/sana-1-5.md
sana-sprint,SANA-Sprint: One-Step Diffusion with Continuous-Time Consistency Distillation,图像生成及配套,ICCV 2025,2025-03-12,2503.09641,v4,22,11635489,a84d54b91d598c9a38b1e0de12754c46b1bf41f3873dc8ef384bbfa8ffdbd64a,https://hanlab.mit.edu/projects/sana-sprint,https://arxiv.org/pdf/2503.09641v4,https://github.com/NVlabs/Sana,PDFs/sana-sprint.pdf,notes/sana-sprint.md
lpd,Locality-aware Parallel Decoding for Efficient Autoregressive Image Generation,图像生成及配套,ICLR 2026 Oral,2025-07-02,2507.01957,v2,24,18705299,4cd333c574da2a5062a8fe0e4ee1c9ddf654bb75a9ac6c1892c962227a1cdcce,https://hanlab.mit.edu/projects/lpd,https://arxiv.org/pdf/2507.01957v2,https://github.com/mit-han-lab/lpd,PDFs/lpd.pdf,notes/lpd.md
hart,HART: Efficient Visual Generation with Hybrid Autoregressive Transformer,图像生成及配套,ICLR 2025,2024-10-14,2410.10812,v1,20,24335006,bbe4a91595545a6de947438b82826a9c215718656d99fc5b1490779ffc8c5e39,https://hanlab.mit.edu/projects/hart,https://arxiv.org/pdf/2410.10812v1,https://github.com/mit-han-lab/hart,PDFs/hart.pdf,notes/hart.md
vila-u,VILA-U: a Unified Foundation Model Integrating Visual Understanding and Generation,图像生成及配套,ICLR 2025,2024-09-06,2409.04429,v3,19,29261031,85ae4c1d695c481003a6a3d6c5b301994b854542a0f0e368a057b014109357ba,https://hanlab.mit.edu/projects/vila-u,https://arxiv.org/pdf/2409.04429v3,https://github.com/mit-han-lab/vila-u,PDFs/vila-u.pdf,notes/vila-u.md
dc-ar,DC-AR: Efficient Masked Autoregressive Image Generation with Deep Compression Hybrid Tokenizer,图像生成及配套,ICCV 2025,2025-07-07,2507.04947,v1,18,40837284,74a8d88201339811fcce963cc2ff869fdf13a6df06b9408184b6317197b6b145,https://hanlab.mit.edu/projects/dc-ar,https://arxiv.org/pdf/2507.04947v1,https://github.com/dc-ai-projects/DC-AR,PDFs/dc-ar.pdf,notes/dc-ar.md
dc-ae,Deep Compression Autoencoder for Efficient High-Resolution Diffusion Models,图像生成及配套,ICLR 2025,2024-10-14,2410.10733,v8,22,7763483,eb852d2eba91f034f1ff9d1f9dc85a1941c57be3cf5a9afedeacf86ee2288e48,https://hanlab.mit.edu/projects/dc-ae,https://arxiv.org/pdf/2410.10733v8,https://github.com/dc-ai-projects/DC-Gen,PDFs/dc-ae.pdf,notes/dc-ae.md
dc-ae-1-5,DC-AE 1.5: Accelerating Diffusion Model Convergence with Structured Latent Space,图像生成及配套,ICCV 2025,2025-08-01,2508.00413,v1,13,3199356,6fecdcdb39244e1f51f296d5245b2189658074fb53a20fe488ce2951fea3303d,https://hanlab.mit.edu/projects/dc-ae-1-5,https://arxiv.org/pdf/2508.00413v1,https://github.com/dc-ai-projects/DC-Gen,PDFs/dc-ae-1-5.pdf,notes/dc-ae-1-5.md
dc-gen,DC-Gen: Post-Training Diffusion Acceleration with Deeply Compressed Latent Space,图像生成及配套,ECCV 2026 接收¹,2025-09-29,2509.25180,v3,39,45383519,624f9b59f7be928824854358597ce0216cf1d4a28fec69cca26660451d914cea,https://hanlab.mit.edu/projects/dc-gen,https://arxiv.org/pdf/2509.25180v3,https://github.com/dc-ai-projects/DC-Gen,PDFs/dc-gen.pdf,notes/dc-gen.md
svdquant,SVDQuant: Absorbing Outliers by Low-Rank Components for 4-Bit Diffusion Models,图像生成及配套,ICLR 2025 Spotlight,2024-11-07,2411.05007,v4,28,38304986,548a48319d6bef7f5f7bbebd6573dc922247cde471f9e670dc1e8bc09653e2dc,https://hanlab.mit.edu/projects/svdquant,https://arxiv.org/pdf/2411.05007v4,https://github.com/nunchux-ai/deepcompressor,PDFs/svdquant.pdf,notes/svdquant.md
longlive,LongLive: Real-time Interactive Long Video Generation,视频扩展,ICLR 2026,2025-09-26,2509.22622,arXiv v2 (2025-10-13),21,24388253,c02db70004d281be6f35b760052457b86860eebbb6356abd3044690a96b54905,https://hanlab.mit.edu/projects/longlive,https://arxiv.org/pdf/2509.22622v2,https://github.com/NVlabs/LongLive,PDFs/longlive.pdf,notes/longlive.md
sana-video,SANA-Video: Efficient Video Generation with Block Linear Diffusion Transformer,视频扩展,ICLR 2026 Oral,2025-09-29,2509.24695,ICLR 2026 final proceedings PDF (25 pages); distinct from arXiv v2,25,4967996,e1691678d191bcf5b9bf406f296e3f502805f338540c7e84e8682fb3f6631874,https://hanlab.mit.edu/projects/sana-video,https://proceedings.iclr.cc/paper_files/paper/2026/file/41b93c59da0d0f835907fd661d419db2-Paper-Conference.pdf,https://github.com/NVlabs/Sana,PDFs/sana-video.pdf,notes/sana-video.md
radial-attention,Radial Attention: O(n log n) Sparse Attention with Energy Decay for Long Video Generation,视频扩展,NeurIPS 2025,2025-06-24,2506.19852,"arXiv v2 (2025-12-06), labeled NeurIPS 2025 camera-ready by authors",25,20265146,43375b7ef5bad7ddd4ff5a1a2667f706f06c923e844be8373f26d45073c2475b,https://hanlab.mit.edu/projects/radial-attention,https://arxiv.org/pdf/2506.19852v2,https://github.com/mit-han-lab/radial-attention,PDFs/radial-attention.pdf,notes/radial-attention.md
dc-videogen,DC-VideoGen: Efficient Video Generation with Deep Compression Video Autoencoder,视频扩展,2025 预印本²,2025-09-29,2509.25182,arXiv v1 (2025-09-29),19,7731131,c5089e759a0b97fba7f21e56da676c7bb0c14348dfb0b4a8977a6787d1f3d769,https://hanlab.mit.edu/projects/dc-videogen,https://arxiv.org/pdf/2509.25182v1,https://github.com/dc-ai-projects/DC-VideoGen,PDFs/dc-videogen.pdf,notes/dc-videogen.md
xattention,XAttention: Block Sparse Attention with Antidiagonal Scoring,视频扩展,ICML 2025,2025-03-20,2503.16428,Final ICML 2025 proceedings PDF; PMLR 267:69819-69831; PDF creation date 2025-06-04; includes Wan2.1 Appendix A,13,7458732,ae903606b6a44a36462b928d4837147bbde019a73b043b62306595588cde975a,https://hanlab.mit.edu/projects/xattention,https://raw.githubusercontent.com/mlresearch/v267/main/assets/xu25ag/xu25ag.pdf,https://github.com/mit-han-lab/x-attention,PDFs/xattention.pdf,notes/xattention.md
foreact,ForeAct: Steering Your VLA with Efficient Visual Foresight Planning,具身图像生成补充,CVPR 2026 Highlight,2026-02-12,2602.12322,v1,16,10959643,d35a86c35bb88f7bd48a14d2d744cab63078b2f957e2fd1d7ef756dcbf3044da,https://hanlab.mit.edu/projects/foreact,https://arxiv.org/pdf/2602.12322v1,https://github.com/mit-han-lab/foreact,PDFs/foreact.pdf,notes/foreact.md
