batch,case,check,kind,child,node,question,receiver_truth,donor_truth,prediction,baseline_answer,actual_answer,prediction_match,receiver_correct,stop_reason,baseline_fact,actual_fact,effect,additive_prediction,joint_residual,total_state_count,added_state_count,source,condition_key,baseline_key
1,editclevr-335200,j335-drop21,key,,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,blue,blue,blue,blue,True,True,eos,0.2467201824173727,0.24652477965592845,-0.00019540276144425217,-0.0007855486180274873,0.0005901458565832352,272,128,batch-1/report.json,739dda19184f3148bfd50dba38cd0abc4bc822953505ae170b735f4058b1c871,e13a2daeccf82a52f16392330a67cb33bc25cacb6140da5f257d587f6f930f78
1,editclevr-335200,j335-drop21,key,,CLEVR_editclevr_hard_a_000352_color_0-color_count:1,How many blue objects are there?,1,1,1,1,1,True,True,eos,3.2499991602644345,3.3749992480267332,0.12500008776229876,0.750000755502048,-0.6250006677397493,272,128,batch-1/report.json,4f170a63d27d8262443ea1f641463f908ec0c418dab2e913d893cd8b681adf57,b2d58bb5ee15af5992b54edfaffa5fdcccc7a9eeef358487af07c06c73aaf3d1
1,editclevr-335200,j335-drop-control,area_control,,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,blue,purple,blue,purple,True,False,eos,0.2467201824173727,-0.007774637311723787,-0.2544948197290965,-0.25444129294947126,-5.3526779625223675e-05,272,128,batch-1/report.json,b01fdc90bec7067c317a3006dad092fc151cac98e907fa72daac939310b809c6,e13a2daeccf82a52f16392330a67cb33bc25cacb6140da5f257d587f6f930f78
1,editclevr-335200,j335-drop-control,area_control,,CLEVR_editclevr_hard_a_000352_color_0-color_count:1,How many blue objects are there?,1,1,1,1,1,True,True,eos,3.2499991602644345,3.249999066498587,-9.376584753084671e-08,0.7500005596479737,-0.7500006534138213,272,128,batch-1/report.json,3603d10e98089ef44ed828299dcb5d8769ed852bb03e901ca5b25a2e24703589,b2d58bb5ee15af5992b54edfaffa5fdcccc7a9eeef358487af07c06c73aaf3d1
1,editclevr-335200,j335-pair21,key,,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,blue,purple,blue,purple,True,False,eos,0.2467201824173727,-0.1310803359162609,-0.3778005183336336,-0.37856066522562415,0.0007601468919905541,176,32,batch-1/report.json,ff9ad201a33a79b6b92c88def31c46fbed30e455bb9e60bc49f60610de8de1ff,e13a2daeccf82a52f16392330a67cb33bc25cacb6140da5f257d587f6f930f78
1,editclevr-335200,j335-pair21,key,,CLEVR_editclevr_hard_a_000352_color_0-color_count:1,How many blue objects are there?,1,1,1,1,1,True,True,eos,3.2499991602644345,3.2499989517631733,-2.0850126114524414e-07,-1.382884917688898e-09,-2.0711837622755525e-07,176,32,batch-1/report.json,c2a94d87548b32d4a665bb8d678f10bafa0fafce7a2e69468d9c514d67f892b6,b2d58bb5ee15af5992b54edfaffa5fdcccc7a9eeef358487af07c06c73aaf3d1
1,editclevr-335200,j335-pair-control,area_control,,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,blue,blue,blue,blue,True,True,eos,0.2467201824173727,0.12055009354135682,-0.12617008887601588,-0.0003830254046295334,-0.12578706347138635,176,32,batch-1/report.json,e04fcf77060b783f9bc3517c4b1544dabbb922a60de5e235fac8f297302db6c3,e13a2daeccf82a52f16392330a67cb33bc25cacb6140da5f257d587f6f930f78
1,editclevr-335200,j335-pair-control,area_control,,CLEVR_editclevr_hard_a_000352_color_0-color_count:1,How many blue objects are there?,1,1,1,1,1,True,True,eos,3.2499991602644345,3.3749992719326056,0.12500011166817115,0.2500001623414456,-0.12500005067327447,176,32,batch-1/report.json,44dbfafec92c7fb9a3e32fd8eeee21158e8a67a3f9ce50eb84f9fbac4c181899,b2d58bb5ee15af5992b54edfaffa5fdcccc7a9eeef358487af07c06c73aaf3d1
1,editclevr-101232,j101-marker4,coarse_weak,,CLEVR_editclevr_atomic_a_001232_color_4-changed_color:1,What color is the large rubber sphere?,yellow,yellow,yellow,Unable to answer.,yellow,True,True,eos,0.3103294030345154,14.812904612637476,14.502575209602961,-0.603916704556557,15.106491914159518,64,64,batch-1/report.json,504e78d96e6f5869129401ea11c5eaf2d4e4493b8db9b363365ebfce758f316a,94072f46c59bec9aa18f7f57921e563d1b465fae6c78ebb7784e1d7e6c8eaadc
1,editclevr-101232,j101-marker4,coarse_weak,,CLEVR_editclevr_atomic_a_001232_color_4-color_count:1,How many yellow objects are there?,1,1,1,Unable to answer.,1,True,True,eos,2.366252789829744,6.499999656638552,4.133746866808808,-0.4958112735720803,4.6295581403808885,64,64,batch-1/report.json,1c27e1d060ec4b805ba80bccb4c6a07853cbc5c4dee6c1956856723134e1abc7,667e43cf25ab0f08f0278b5afaf5519fae24f3a37333c0828abf4a33b8df825e
1,editclevr-101232,j101-control4,area_control,,CLEVR_editclevr_atomic_a_001232_color_4-changed_color:1,What color is the large rubber sphere?,yellow,yellow,Unable to answer.,Unable to answer.,Unable to answer.,True,False,eos,0.3103294030345154,0.12645818360327254,-0.18387121943124285,-1.1484877221805405,0.9646165027492977,64,64,batch-1/report.json,c6db452a3043572694af36652357d8b4b58623afd2476cd2fbad9c1e8aaa78bf,94072f46c59bec9aa18f7f57921e563d1b465fae6c78ebb7784e1d7e6c8eaadc
1,editclevr-101232,j101-control4,area_control,,CLEVR_editclevr_atomic_a_001232_color_4-color_count:1,How many yellow objects are there?,1,1,Unable to answer.,Unable to answer.,Unable to answer.,True,False,eos,2.366252789829744,2.2373391187169034,-0.1289136711128407,-0.4387652824349928,0.3098516113221521,64,64,batch-1/report.json,77d087ac414fbf2f53ee3f05d8e9eff5e6d0149f06f68dae1dcd0672720607ef,667e43cf25ab0f08f0278b5afaf5519fae24f3a37333c0828abf4a33b8df825e
1,editclevr-101232,j101-drop0,coarse_weak,,CLEVR_editclevr_atomic_a_001232_color_4-changed_color:1,What color is the large rubber sphere?,yellow,yellow,Unable to answer.,Unable to answer.,Unable to answer.,True,False,eos,0.3103294030345154,0.4260243748568584,0.115694971822343,-1.816414217643736,1.932109189466079,128,128,batch-1/report.json,a9209c2f7c8a5ad6f4384c06b5fc2e071236f5cb0ca633302b4cad12dec4b2de,94072f46c59bec9aa18f7f57921e563d1b465fae6c78ebb7784e1d7e6c8eaadc
1,editclevr-101232,j101-drop0,coarse_weak,,CLEVR_editclevr_atomic_a_001232_color_4-color_count:1,How many yellow objects are there?,1,1,Unable to answer.,Unable to answer.,Unable to answer.,True,False,eos,2.366252789829744,2.429547464499109,0.06329467466936478,-0.2506718221940645,0.31396649686342926,128,128,batch-1/report.json,2acf536bd7324305d9036a7df1979a6a95d14841ec0d6cf85758edd317fbda14,667e43cf25ab0f08f0278b5afaf5519fae24f3a37333c0828abf4a33b8df825e
1,editclevr-101232,j101-drop-control,area_control,,CLEVR_editclevr_atomic_a_001232_color_4-changed_color:1,What color is the large rubber sphere?,yellow,yellow,yellow,Unable to answer.,yellow,True,True,eos,0.3103294030345154,14.625461192907489,14.315131789872973,-1.5651370549001449,15.880268844773118,128,128,batch-1/report.json,ed67981f39cb3dd63c7ff161adddbe3f6bd9a57f0f6d6d2fc8ac49d9e14b6203,94072f46c59bec9aa18f7f57921e563d1b465fae6c78ebb7784e1d7e6c8eaadc
1,editclevr-101232,j101-drop-control,area_control,,CLEVR_editclevr_atomic_a_001232_color_4-color_count:1,How many yellow objects are there?,1,1,1,Unable to answer.,1,True,True,eos,2.366252789829744,6.374999626938859,4.008746837109115,-0.9342119746628654,4.94295881177198,128,128,batch-1/report.json,1bbe18962a9a688e7a5e8df2a0971e5a8cdc1cbcf6341b3f87f503661077124f,667e43cf25ab0f08f0278b5afaf5519fae24f3a37333c0828abf4a33b8df825e
2,editclevr-335200,r335-parent21,refine,78,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,blue,,blue,blue,,True,eos,0.2467201824173727,0.24444026423502674,-0.0022799181823459636,,,148,4,batch-2/report.json,1031e723f9f2f4268fc42386c6f33d67542da8df56c4517222bcbec034be9658,e13a2daeccf82a52f16392330a67cb33bc25cacb6140da5f257d587f6f930f78
2,editclevr-335200,r335-parent21,refine,79,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,blue,,blue,purple,,False,eos,0.2467201824173727,-0.12893740157337308,-0.3756575839907458,,,148,4,batch-2/report.json,a2b4a6e8359410b17fd4de1ed49138a93770dede2b6b7c7ee093f7d5b4f7edda,e13a2daeccf82a52f16392330a67cb33bc25cacb6140da5f257d587f6f930f78
2,editclevr-335200,r335-parent21,refine,90,CLEVR_editclevr_hard_a_000352_color_0-changed_color:1,What color is the small metal cube?,blue,blue,,blue,blue,,True,eos,0.2467201824173727,0.24465124979784247,-0.0020689326195302282,,,148,4,batch-2/report.json,175423cee09165fb606757af21cbfabdfdeee58e5becb906bbcba900153a851e,e13a2daeccf82a52f16392330a67cb33bc25cacb6140da5f257d587f6f930f78
